group,file,ref_svg_size,ref_tvg_size,cur_svg_size,svgo_size,tvgt_size,tvg_size,zstd_size,brotli_size,zstd_dict_size,status,fail_stage,fail_detail
material-design,briefcase-eye.svg,583,349,584,466,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M17 18c.6 0 1 .4 1 1s-.4 1-1 1-1-.4-1-1 .4-1 1-1m-7.9 1.7̲-.3-.7.3-.7c1.3-3.2 4.4-5.3 7.9-5.3 1.9 …' Unhandled exception: System.InvalidOperationException: New MoveTo detected without
material-design,briefcase-minus.svg,311,180,324,258,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M22 17v2h-8v-2zM10 2h4a2 2 0 0 1 2 2v2h4a2 2 0 0 1 2 2v5.53A5.97 5.97 0 0 0 18 12a6 6 0 0 0-6 6c0 1.09.29 2.12.8 3H4a2 2 0 0 1-2-2V8c0-1.11.89-2 2-2h4V4c0-1.11.89-2 2-2m4 4̲V4h-4v2z' U
material-design,briefcase-off-outline.svg,490,259,499,406,1376,248,210,209,179,ok,,
material-design,briefcase-off.svg,299,161,315,243,910,152,130,122,94,ok,,
material-design,briefcase-remove-outline.svg,431,226,447,354,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M10 2h4a2 2 0 0 1 2 2v2h4a2 2 0 0 1 2 2v5.53a5.7 5.7 0 0 0-2-1.19V8H4v11h8.08c.12.72.37 1.39.72 2H4a2 2 0 0 1-2-2V8a2 2 0 0 1 2-2h4V4a2 2 0 0 1 2-2m4 4̲V4h-4v2zm.46 9.88 1.42-1.42L18 1
material-design,briefcase-search-outline.svg,545,302,574,474,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M10 2h4a2 2 0 0 1 2 2v2h4a2 2 0 0 1 2 2v5.03c-.5-.8-1.2-1.49-2-2.03V8H4v11h6.5c.31.75.76 1.42 1.31 2H4a2 2 0 0 1-2-2V8c0-1.11.89-2 2-2h4V4c0-1.11.89-2 2-2m4 4̲V4h-4v2zm6.31 12.9 3.08 3
material-design,briefcase-variant-off-outline.svg,459,266,500,375,1603,253,211,200,85,ok,,
material-design,briefcase-variant.svg,315,193,322,252,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M10 16v-1H3v4c0 1.11.89 2 2 2h14c1.11 0 2-.89 2-2v-4h-7v1zm10-9h-4V5l-2-2h-4L8 5v2H4c-1.1 0-2 .9-2 2v3c0 1.11.89 2 2 2h6v-2h4v2h6c1.1 0 2-.9 2-2V9c0-1.1-.9-2-2-2m-6 0̲h-4V5h4z' Unhandl
material-design,briefcase.svg,239,138,241,200,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M10 2h4a2 2 0 0 1 2 2v2h4a2 2 0 0 1 2 2v11a2 2 0 0 1-2 2H4a2 2 0 0 1-2-2V8c0-1.11.89-2 2-2h4V4c0-1.11.89-2 2-2m4 4̲V4h-4v2z' Unhandled exception: System.InvalidOperationException: New
material-design,bunk-bed.svg,381,208,377,346,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M1 2v21h2v-2h18v2h2V7c0-2.21-1.79-4-4-4h-9v5H3V2m3.5 0̲A2.5 2.5 0 0 0 4 4.5 2.5 2.5 0 0 0 6.5 7…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without Clo
material-design,bus-electric.svg,480,309,518,391,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M18 8H6V4h12m-1.5 10̲c-.8 0-1.5-.7-1.5-1.5s.7-1.5 1.5-1.5 1.5…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParser.ParseMo
material-design,bus-side.svg,501,291,497,433,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M3 6c-1.11 0-2 .89-2 2v7h2a3 3 0 0 0 3 3 3 3 0 0 0 3-3h6a3 3 0 0 0 3 3 3 3 0 0 0 3-3h2V8c0-1.11-.89-2-2-2zm-.5 1.5h4V10h-4zm5.5 0h4V10H8zm5.5 0h4V10h-4zm5.5 0h2.5V13L19 11zm-13 6A1.5 1
material-design,bus-stop-uncovered.svg,354,203,360,314,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M6 22v-3H4v3H2v-8a1 1 0 0 1 1-1 1 1 0 0 1 1 1v3h3a1 1 0 0 1 1 1v4m12-11̲v11h-1V11a2.5 2.5 0 1 1 1 0m-5 .55V16h-1…' Unhandled exception: System.InvalidOperationException: New MoveTo det
material-design,bus-stop.svg,613,349,617,490,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M22 7v9c0 .71-.38 1.36-1 1.72v1.53c0 .41-.34.75-.75.75h-.5c-.41 0-.75-.34-.75-.75V18h-7v1.25c0 .41-.34.75-.75.75h-.5c-.41 0-.75-.34-.75-.75v-1.53c-.61-.36-1-1.01-1-1.72V7c0-3 3-3 6.5-3
material-design,cabin-a-frame.svg,218,103,219,172,675,90,93,89,77,ok,,
material-design,cake-layered.svg,326,183,340,279,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M21 21v-4a2 2 0 0 0-2-2h-1v-3a2 2 0 0 0-2-2h-3V8h-2v2H8c-1.11 0-2 .89-2 2v3H5c-1.11 0-2 .89-2 2v4H1v2h22v-2M12 7̲a2 2 0 0 0 2-2c0-.38-.1-.73-.29-1.03L12 …' Unhandled exception: System.
material-design,cake-variant.svg,625,313,691,536,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 6a2 2 0 0 0 2-2c0-.38-.1-.73-.29-1.03L12 0l-1.71 2.97c-.19.3-.29.65-.29 1.03a2 2 0 0 0 2 2m4.6 10̲-1.07-1.08L14.45 16c-1.3 1.29-3.58 1.3-4…' Unhandled exception: System.InvalidOper
material-design,calculator-variant.svg,418,244,424,338,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M19 3H5c-1.1 0-2 .9-2 2v14c0 1.1.9 2 2 2h14c1.1 0 2-.9 2-2V5c0-1.1-.9-2-2-2m-6 4.1̲L14.1 6l1.4 1.4L16.9 6 18 7.1l-1.4 1.4L1…' Unhandled exception: System.InvalidOperationException: New
material-design,calendar-alert.svg,254,160,266,208,979,151,118,114,74,ok,,
material-design,calendar-end.svg,258,160,270,213,1005,155,126,124,96,ok,,
material-design,calendar-lock-outline.svg,480,278,493,390,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M19 3h-1V1h-2v2H8V1H6v2H5c-1.1 0-2 .9-2 2v14c0 1.1.9 2 2 2h7v-2H5V9h14v2c.7.2 1.4.5 2 .9V5c0-1.1-.9-2-2-2m0 4̲H5V5h14zm1.8 10v-1.5c0-1.4-1.4-2.5-2.8-2…' Unhandled exception: System.Inv
material-design,calendar-lock.svg,466,261,474,378,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 21H5c-1.1 0-2-.9-2-2V5c0-1.1.9-2 2-2h1V1h2v2h8V1h2v2h1c1.1 0 2 .9 2 2v7c-.6-.4-1.3-.8-2-.9V8H5v11h7zm10-2.7v3.5c0 .6-.6 1.2-1.3 1.2h-5.5c-.6 0-1.2-.6-1.2-1.3v-3.5c0-.6.6-1.2 1.2-1.
material-design,calendar-multiple-check.svg,327,194,348,268,1171,183,142,144,26,ok,,
material-design,calendar-range.svg,262,175,267,215,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M9 10H7v2h2zm4 0h-2v2h2zm4 0h-2v2h2zm2-7h-1V1h-2v2H8V1H6v2H5a2 2 0 0 0-2 2v14a2 2 0 0 0 2 2h14a2 2 0 0 0 2-2V5a2 2 0 0 0-2-2m0 16̲H5V8h14z' Unhandled exception: System.InvalidOperation
material-design,calendar-refresh-outline.svg,500,278,512,387,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M19 3h-1V1h-2v2H8V1H6v2H5c-1.1 0-2 .9-2 2v14c0 1.1.9 2 2 2h9c-.6-.5-1.1-1.2-1.5-2H5V9h14v1.6c.7.1 1.4.3 2 .7V5c0-1.1-.9-2-2-2m0 4̲H5V5h14m-1 7.5c1.1 0 2.1.4 2.8 1.2l1.2-1…' Unhandled e
material-design,calendar-search.svg,506,272,520,440,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M15.5 12c2.5 0 4.5 2 4.5 4.5 0 .88-.25 1.71-.69 2.4l3.08 3.1L21 23.39l-3.12-3.07c-.69.43-1.51.68-2.38.68-2.5 0-4.5-2-4.5-4.5s2-4.5 4.5-4.5m0 2̲a2.5 2.5 0 0 0-2.5 2.5 2.5 2.5 0 0 0 2.5…
material-design,calendar-star.svg,306,169,327,268,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M19 19H5V8h14m-3-7̲v2H8V1H6v2H5c-1.1 0-2 .9-2 2v14a2 2 0 0 …' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParser.ParseMove
material-design,calendar-sync.svg,466,236,473,387,1344,227,191,197,161,ok,,
material-design,calendar-today.svg,221,135,226,189,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M7 10h5v5H7m12 4̲H5V8h14m0-5h-1V1h-2v2H8V1H6v2H5a2 2 0 0 …' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParser.ParseMoveTo
material-design,calendar-week.svg,236,143,247,192,859,136,110,107,80,ok,,
material-design,call-missed.svg,160,60,159,127,396,60,73,65,57,ok,,
material-design,camera-enhance-outline.svg,473,293,483,403,0,0,0,0,0,fail,svg2tvgt,Error Context: 'm12 10-.94 2.06L9 13l2.06.94L12 16l.94-2.06L15 13l-2.06-.94zm8-5h-3.17L15 3H9L7.17 5H4a2 2 0 0 0-2 2v12a2 2 0 0 0 2 2h16a2 2 0 0 0 2-2V7a2 2 0 0 0-2-2m0 14̲H4V7h4.05l.59-.65L9.88 5h4.2
material-design,camera-flip-outline.svg,535,288,562,449,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M20 5h-3.17L15 3H9L7.17 5H4c-1.1 0-2 .9-2 2v12a2 2 0 0 0 2 2h16c1.11 0 2-.89 2-2V7a2 2 0 0 0-2-2m0 14̲H4V7h4.05l1.83-2h4.24L16 7h4zM5 12h2.1A4…' Unhandled exception: System.InvalidOper
material-design,camera-rear.svg,294,181,298,246,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 6a2 2 0 0 1-2-2 2 2 0 0 1 2-2c1.09 0 2 .9 2 2a2 2 0 0 1-2 2m5-6̲H7a2 2 0 0 0-2 2v14a2 2 0 0 0 2 2h10a2 2…' Unhandled exception: System.InvalidOperationException: New MoveTo detecte
material-design,camera-wireless-outline.svg,461,284,476,402,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M20 9v11H4V8h4.05l1.83-2H15V4H9L7.17 6H4a2 2 0 0 0-2 2v12a2 2 0 0 0 2 2h16a2 2 0 0 0 2-2V9zm.67-1H22c0-3.32-2.69-6-6-6v1.33c2.58 0 4.66 2.08 4.67 4.67M18 8̲h1.33A3.33 3.33 0 0 0 16 4.6
material-design,campfire.svg,1045,426,1074,774,2253,414,383,359,373,ok,,
material-design,car-arrow-left.svg,450,249,452,368,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 18c0-3.31 2.69-6 6-6 1.09 0 2.12.3 3 .81V12l-2.08-6c-.2-.58-.76-1-1.42-1h-11c-.66 0-1.22.42-1.42 1L3 12v8c0 .55.45 1 1 1h1c.55 0 1-.45 1-1v-1h6.09c-.05-.33-.09-.66-.09-1M6.5 6.5̲h1
material-design,car-brake-parking.svg,540,330,596,425,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M12 3c-5 0-9 4-9 9s4 9 9 9 9-4 9-9-4-9-9-9m0 16̲c-3.9 0-7-3.1-7-7s3.1-7 7-7 7 3.1 7 7-3.…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath
material-design,car-light-fog.svg,387,241,443,316,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M13 4.8c-4 0-4 14.4 0 14.4s9-2.7 9-7.2-5-7.2-9-7.2m.1 12.4̲C12.7 16.8 12 15 12 12s.7-4.8 1.1-5.2C16…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without
material-design,car-pickup.svg,440,241,438,386,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M16 6h-5.5v4H1v5h2a3 3 0 0 0 3 3 3 3 0 0 0 3-3h6a3 3 0 0 0 3 3 3 3 0 0 0 3-3h2v-3c0-1.11-.89-2-2-2h-2zm-4 1.5h3.5l1.96 2.5H12zm-6 6A1.5 1.5 0 0 1 7.5 15 1.5 1.5 0 0 1 6 16.5 1.5 1.5 0
material-design,car-turbocharger.svg,889,431,905,739,2361,426,355,331,334,ok,,
material-design,car.svg,470,255,461,419,0,0,0,0,0,fail,svg2tvgt,Error Context: 'm5 11 1.5-4.5h11L19 11m-1.5 5̲a1.5 1.5 0 0 1-1.5-1.5 1.5 1.5 0 0 1 1.5…' Unhandled exception: System.InvalidOperationException: New MoveTo detected without ClosePath    at SvgPathParse
material-design,card-account-phone-outline.svg,629,389,670,530,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M22 3H2a2 2 0 0 0-2 2v14a2 2 0 0 0 2 2h20a2 2 0 0 0 2-2V5a2 2 0 0 0-2-2m0 16̲H2V5h20zm-3-1 2-2-1.5-2h-1.65c-.22-.63-.…' Unhandled exception: System.InvalidOperationException: New MoveT
material-design,card-bulleted-off.svg,380,197,385,294,1192,180,172,156,58,ok,,
material-design,card-bulleted-settings.svg,292,202,302,235,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M9 22v2H7v-2zm4 0v2h-2v-2zm4 0v2h-2v-2zm3-2H4a2 2 0 0 1-2-2V6a2 2 0 0 1 2-2h16a2 2 0 0 1 2 2v12a2 2 0 0 1-2 2m-9-7̲H9v2h2zm8 0h-6v2h6zM7 9H5v2h2zm12 0H9v2h…' Unhandled exception: Syste
material-design,card-multiple.svg,407,188,408,337,966,183,164,155,157,ok,,
material-design,card-plus-outline.svg,226,131,239,185,819,126,105,95,80,ok,,
material-design,card-text-outline.svg,222,134,227,187,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M20 20H4a2 2 0 0 1-2-2V6a2 2 0 0 1 2-2h16a2 2 0 0 1 2 2v12a2 2 0 0 1-2 2M4 6̲v12h16V6zm2 3h12v2H6zm0 4h10v2H6z' Unhandled exception: System.InvalidOperationException: New MoveTo detect
material-design,cards-playing-club.svg,432,241,438,322,0,0,0,0,0,fail,svg2tvgt,Error Context: 'M17 2H7c-1.1 0-2 .9-2 2v16c0 1.1.9 2 2 2h10c1.1 0 2-.9 2-2V4c0-1.1-.9-2-2-2m-3 13̲c-.6 0-1.1-.3-1.5-.7l1 2.7h-3l1-2.7c-.4.…' Unhandled exception: System.InvalidOperationException: New
